# # Energy Transfer [meV], Optimal L1 [m]
2.700000000000000178e+00,1.555524029999999982e+02
3.200000000000000178e+00,1.555488310000000070e+02
3.700000000000000178e+00,1.555458169999999996e+02
3.799999999999999822e+00,1.555452260000000138e+02
4.200000000000000178e+00,1.555428850000000125e+02
4.400000000000000355e+00,1.555418009999999924e+02
4.700000000000000178e+00,1.555401709999999866e+02
4.799999999999999822e+00,1.555395110000000045e+02
5.000000000000000000e+00,1.555384290000000078e+02
5.200000000000000178e+00,1.555373429999999928e+02
5.400000000000000355e+00,1.555363309999999899e+02
5.799999999999999822e+00,1.555343399999999860e+02
6.000000000000000000e+00,1.555331979999999987e+02
6.400000000000000355e+00,1.555313360000000102e+02
7.000000000000000000e+00,1.555285179999999912e+02
7.700000000000000178e+00,1.555252839999999992e+02
8.199999999999999289e+00,1.555234660000000133e+02
8.800000000000000711e+00,1.555211510000000033e+02
9.400000000000000355e+00,1.555183940000000007e+02
1.000000000000000000e+01,1.555168370000000095e+02
1.269999999999999929e+01,1.555064720000000023e+02
1.319999999999999929e+01,1.555050740000000076e+02
1.380000000000000071e+01,1.555027019999999993e+02
1.440000000000000036e+01,1.555000809999999944e+02
1.500000000000000000e+01,1.554989840000000072e+02
2.769999999999999929e+01,1.554583969999999908e+02
2.819999999999999929e+01,1.554580449999999985e+02
2.880000000000000071e+01,1.554549900000000093e+02
2.939999999999999858e+01,1.554548699999999997e+02
3.000000000000000000e+01,1.554521430000000066e+02
5.270000000000000284e+01,1.553883130000000108e+02
5.320000000000000284e+01,1.553867850000000033e+02
5.379999999999999716e+01,1.553840959999999995e+02
5.439999999999999858e+01,1.553846550000000093e+02
5.500000000000000000e+01,1.553820560000000057e+02
